x,y,code,name
-89.4890685408559,-44.16863364388942,C00001,Name_C00001
-766.1942063543441,-119.73437585465122,C00002,Name_C00002
-327.5595667982957,-809.6661271968834,C00003,Name_C00003
-944.116173734855,-17.731114077307417,C00004,Name_C00004
-756.5395764912375,-863.7481089629808,C00005,Name_C00005
-718.071659958149,888.7627485217662,C00006,Name_C00006
-89.70982701468834,296.77256724905897,C00007,Name_C00007
-129.69708739062446,148.28354991490977,C00008,Name_C00008
-208.92586077804222,-543.1868440646364,C00009,Name_C00009
-221.17743713344257,554.5706346204688,C00011,Name_C00011
-84.22289075690271,170.78465742092726,C00012,Name_C00012
14.711125294617823,952.2409059583979,C00013,Name_C00013
241.3448505182119,736.3167288471213,C00014,Name_C00014
795.1569987386516,-108.73496886206745,C00015,Name_C00015
31.95803027020233,292.694164537948,C00016,Name_C00016
-169.7540597803196,-279.1177124116579,C00017,Name_C00017
-84.02755522178133,424.48088835480416,C00018,Name_C00018
207.5857141104796,-623.4775851217898,C00019,Name_C00019
468.9869648531233,-182.84310948867778,C00020,Name_C00020
613.703821681258,989.5840661234192,C00021,Name_C00021
722.5820578318672,-515.4853756861436,C00022,Name_C00022
343.77205140929834,804.165124621817,C00023,Name_C00023
-560.5579765275264,-919.2892879396654,C00024,Name_C00024
-156.09602857872676,844.775892482236,C00025,Name_C00025
349.3562825865571,-636.9380495206087,C00026,Name_C00026
23.855636041376904,-893.1651138127625,C00027,Name_C00027
-849.257892940934,508.9698449912534,C00028,Name_C00028
-640.4135853502279,58.65138855369367,C00029,Name_C00029
-492.38622882006086,322.43771141429875,C00030,Name_C00030
-945.7984007705961,774.257998963538,C00031,Name_C00031
-733.6334871423089,850.1564990761369,C00033,Name_C00033
-733.8892838503028,-447.7681375614081,C00034,Name_C00034
-104.99168429112208,-188.32796854737828,C00035,Name_C00035
-966.6764545037412,589.574274342113,C00036,Name_C00036
794.9082014127861,455.11769629643936,C00037,Name_C00037
668.1639970307453,-1025.427975325402,C00038,Name_C00038
843.7345625555498,-960.9481126476885,C00039,Name_C00039
238.8563244185118,-675.3848882934783,C00040,Name_C00040
-758.4601965002558,-81.0274000077474,C00041,Name_C00041
-109.80268176060696,485.27343519635303,C00042,Name_C00042
322.93752847450105,724.1393744576056,C00043,Name_C00043
-724.1154666197592,994.9230401216489,C00044,Name_C00044
817.2869175232219,881.5908961167877,C00045,Name_C00045
-625.0529807093949,-955.9775970157959,C00046,Name_C00046
543.9470364828024,627.3612867263523,C00047,Name_C00047
974.0753842995414,-624.569665239129,C00048,Name_C00048
-908.7270072947227,-324.293871067954,C00049,Name_C00049
-692.154120751973,-431.3547511135384,C00050,Name_C00050
746.5342802643158,197.32184802936442,C00051,Name_C00051
646.5887215141694,513.8376490307766,C00052,Name_C00052
225.38694355386616,890.7599203119222,C00054,Name_C00054
-699.1998914168765,-445.8626540737717,C00055,Name_C00055
-132.15356833895657,492.3504672508909,C00056,Name_C00056
567.0077424346356,-129.15475686921664,C00057,Name_C00057
210.49835459296864,523.372619922168,C00058,Name_C00058
-79.08465385556681,726.1764172509278,C00059,Name_C00059
603.4502847143616,902.004387415402,C00060,Name_C00060
-596.3296278343788,997.7220169467137,C00061,Name_C00061
212.78695335813543,888.9904357547865,C00062,Name_C00062
-141.27370071889254,166.83993113748187,C00063,Name_C00063
-735.1512296487458,-574.2300580205881,C00064,Name_C00064
151.21997727263005,-826.6366129756827,C00065,Name_C00065
-747.0898922512029,257.79736783143517,C00066,Name_C00066
29.44617338141218,172.19118739785085,C00067,Name_C00067
269.45305656640585,-911.0393216197806,C00068,Name_C00068
362.1493802407554,607.6700496411247,C00071,Name_C00071
806.5302594314501,866.5501281359669,C00072,Name_C00072
-222.09748684575126,-287.1044103751931,C00073,Name_C00073
306.65988547834655,763.7603751643901,C00074,Name_C00074
855.4965434656664,148.42482003759673,C00075,Name_C00075
65.10698015747052,-135.31711689111805,C00076,Name_C00076
-876.3042884516286,505.3398223623793,C00077,Name_C00077
302.42661012690496,-823.6123252494543,C00078,Name_C00078
658.8066941894166,941.4551694175746,C00079,Name_C00079
143.53341076675918,-78.06750597791462,C00080,Name_C00080
308.17138963994455,-404.2591751973304,C00082,Name_C00082
697.6256998413118,-870.0346551446208,C00084,Name_C00084
974.0232213780209,-298.8211471536337,C00085,Name_C00085
354.2522289031618,643.4918267447633,C00086,Name_C00086
-898.384162430661,-559.105405102668,C00087,Name_C00087
478.55411150761955,-807.9239533163387,C00088,Name_C00088
-864.6729647421615,743.5100784142469,C00089,Name_C00089
-675.1561960351854,-550.8427991717252,C00090,Name_C00090
256.4040703236825,-213.92480664460172,C00091,Name_C00091
-932.5845636050155,-880.6432493977077,C00092,Name_C00092
-130.73640172952398,-791.0915190326916,C00093,Name_C00093
274.1143019082777,-504.64060858558884,C00094,Name_C00094
506.7540736652598,-801.2573106110565,C00095,Name_C00095
324.1025879098471,-658.4839418677661,C00096,Name_C00096
-682.5387037463641,-762.2751991595536,C00097,Name_C00097
571.3141689016935,-877.3053678973134,C00098,Name_C00098
798.1674407086613,-384.94261788639443,C00099,Name_C00099
577.997930725418,389.85875996878633,C00100,Name_C00100
-685.9169349113489,516.4787213662567,C00101,Name_C00101
-986.453923793281,-603.7840201956764,C00102,Name_C00102
767.4070548238091,34.59231107619185,C00103,Name_C00103
685.671104394938,647.3131534880391,C00104,Name_C00104
